year	pid	full_name	first_name	affiliation
2015	5643445	A.  James McAdams	A.  James	University of Notre Dame
2021	13093656	A. Bradley Potter	A.	Johns Hopkins University, SAIS
2015	5493652	A. Burcu Bayram	A. Burcu	University of Texas Arlington
2019	10108839	A. Burcu Bayram	A. Burcu	University of Arkansas
2020	11310625	A. Burcu Bayram	A. Burcu	University of Arkansas
2021	13098927	A. Burcu Bayram	A. Burcu	University of Arkansas
2019	10053481	A. James McAdams	A. James	University of Notre Dame
2016	6861006	A. Maurits van der Veen	A. Maurits	College of William & Mary
2019	10115302	A. Maurits van der Veen	A. Maurits	College of William & Mary
2020	11309377	A. Maurits van der Veen	A. Maurits	College of William & Mary
2021	13097820	A. Maurits van der Veen	A. Maurits	College of William & Mary
2016	7392292	A. Stanley Meiburg	A. Stanley	U.S. Environmental Protection Agency
2015	5650168	A. Tannenbaum	A.	Gettysburg College
2018	9052657	A.Kadir Yildirim	A.Kadir	Rice University
2019	10113570	A.Kadir Yildirim	A.Kadir	Rice University
2020	11308735	A.Kadir Yildirim	A.Kadir	Rice University
2019	10130735	A.R. Pashayan	A.R.	Howard University, Washington DC
2021	13099067	A.R. Pashayan	A.R.	Howard University
2018	8955790	Aaditya Dar	Aaditya	George Washington University
2019	10114624	Aala Abdelgadir	Aala	Stanford University
2020	11283800	Aala Abdelgadir	Aala	Stanford University
2021	13077304	Aala Abdelgadir	Aala	Stanford University
2016	6868004	Aarie Glas	Aarie	University of Toronto
2017	7946315	Aarie Glas	Aarie	University of Toronto
2018	8955132	Aarie Glas	Aarie	Northern Illinois University
2019	10112613	Aarie Glas	Aarie	Northern Illinois University
2020	11187720	Aarie Glas	Aarie	Northern Illinois University
2021	13102232	Aarie Glas	Aarie	Northern Illinois University
2020	12276084	Aaron Abbarno	Aaron	Democracy International
2020	11310940	Aaron Alexander Zubia	Aaron	Furman University
2020	12275454	Aaron Cardoso	Aaron	University of California - Santa Cruz
2019	10056866	Aaron D. Hoffman	Aaron	Bellarmine University
2017	7960284	Aaron Deslatte	Aaron	Northern Illinois University
2018	8945430	Aaron Deslatte	Aaron	Northern Illinois University
2021	13092121	Aaron Deslatte	Aaron	Indiana University Bloomington
2018	9004776	Aaron F. Brantly	Aaron	Virginia Polytechnic and State University
2019	10064858	Aaron F. Brantly	Aaron	Virginia Polytechnic and State University
2021	13102621	Aaron Gold	Aaron	Sewanee: The University of the South
2018	8948496	Aaron H. Berg	Aaron	California State University, Fullerton
2020	11306205	Aaron H. Berg	Aaron	California State University, Fullerton
2021	13104770	Aaron Hitefield	Aaron	University of Georgia
2015	5603597	Aaron J. Ley	Aaron	University of Rhode Island
2018	8954844	Aaron Javsicas	Aaron	Temple University Press
2019	10113655	Aaron Javsicas	Aaron	Temple University Press
2016	6863794	Aaron L Herold	Aaron	SUNY Geneseo
2018	9048572	Aaron L Herold	Aaron	SUNY Geneseo
2018	8989104	Aaron L. Friedberg	Aaron	
2021	13029783	Aaron L. Friedberg	Aaron	
2018	9006380	Aaron M. Hoffman	Aaron	Purdue University
2018	8954848	Aaron Mannes	Aaron	AAAS
2019	10117800	Aaron Mannes	Aaron	University of Maryland
2015	6698895	Aaron Martin	Aaron	University of Melbourne
2018	9017826	Aaron Rapport	Aaron	University of Cambridge
2019	10130395	Aaron Rosenthal	Aaron	Simmons College
2021	13098046	Aaron Rosenthal	Aaron	Simmons University
2021	13055635	Aaron Rudkin	Aaron	UCLA
2021	13073959	Aaron Russell Kaufman	Aaron	New York University Abu Dhabi
2016	6868436	Aaron S. Erlich	Aaron	McGill University
2018	8954888	Aaron S. Erlich	Aaron	McGill University
2019	10096074	Aaron S. Erlich	Aaron	McGill University
2020	11309047	Aaron S. Erlich	Aaron	McGill University
2021	13100366	Aaron S. Erlich	Aaron	McGill University
2019	10012563	Aaron S. King	Aaron	University of North Carolina Wilmington
2015	5651523	Aaron Schneider	Aaron	University of Denver
2019	10024156	Aaron Schneider	Aaron	University of Denver
2020	11302981	Aaron Schneider	Aaron	University of Denver
2018	8990484	Aaron Shaw	Aaron	Northwestern University
2020	11248016	Aaron Shreve	Aaron	Randolph College
2021	13108321	Aaron Shreve	Aaron	Randolph College
2019	10236519	Aaron Stanley	Aaron	
2021	13020601	Aaron Wachhaus	Aaron	
2018	9306301	Aaron Y. Zelin	Aaron	King's College London
2019	10236740	Aashish Mehta	Aashish	University of California, Santa Barbara
2021	13104288	Abbas Mammadov	Abbas	Washington State University
2017	7938116	Abbey Steele	Abbey	University of Amsterdam
2018	8948040	Abbey Steele	Abbey	University of Amsterdam
2015	5647541	Abby B. Cordova	Abby	University of Kentucky
2019	10018566	Abby B. Cordova	Abby	University of Kentucky
2020	11301428	Abby B. Cordova	Abby	University of Notre Dame
2021	13090466	Abby B. Cordova	Abby	University of Notre Dame
2016	6923139	Abby K. Wood	Abby	
2017	7948512	Abby K. Wood	Abby	USC
2020	11275144	Abby K. Wood	Abby	USC
2018	9307326	Abby M Fanlo	Abby	Stanford University
2019	10112418	Abby M Fanlo	Abby	Stanford University
2020	11281930	Abby M Fanlo	Abby	Stanford University
2021	13104929	Abby M Fanlo	Abby	Stanford University
2017	7987170	Abby Paulson	Abby	American Political Science Association
2018	9023118	Abby Paulson	Abby	American Political Science Association
2019	10080177	Abby Paulson	Abby	American Political Science Association
2020	11301318	Abby Paulson	Abby	American Political Science Association
2018	8948097	Abdel-Fattah Mady	Abdel-Fattah	Alexandria University
2019	10114190	Abdel-Fattah Mady	Abdel-Fattah	Alexandria University
2021	13102717	Abdel-Fattah Mady	Abdel-Fattah	Alexandria University
2019	10123027	Abdul G. Noury	Abdul	New York University Abu Dhabi
2021	13094134	Abdul G. Noury	Abdul	New York University Abu Dhabi
2016	6962736	Abdul-Gafaru Abdulai	Abdul-Gafaru	University of Ghana Business School
2020	11203907	Abdul-Gafaru Abdulai	Abdul-Gafaru	University of Ghana Business School
2021	13399811	Abdul-jabiru Adam	Abdul-jabiru	Yonsei University
2018	8948499	Abdullah Aydogan	Abdullah	Rice University
2021	13398233	Abdullatif Köksal	Abdullatif	Boğaziçi University
2020	11311024	Abed El Qadir Kanaaneh	Abed	Ruhr University Bochum
2019	10207906	Abel Bojar	Abel	European University Institute
2020	11237863	Abel Escriba-Folch	Abel	Institut Barcelona d'Estudis Internacionals
2020	12215461	Abelardo Gómez Díaz	Abelardo	Universitat Pompeu Fabra
2018	9035888	Aberdeen Berry	Aberdeen	
2019	10090779	Aberdeen Berry	Aberdeen	
2021	13058477	Aberdeen Berry	Aberdeen	
2020	11210536	Abhay Aneja	Abhay	UC Berkeley
2021	13017558	Abhay Aneja	Abhay	UC Berkeley
2015	5660269	Abhishek Chatterjee	Abhishek	University of Montana
2016	6862238	Abhishek Chatterjee	Abhishek	University of Montana
