year	session	role	pid	paper
2015	1000053	c	5650271	NA
2015	1000053	d	5660835	NA
2015	1000053	p	NA	1000054
2015	1000053	p	NA	1000055
2015	1000053	p	NA	1000056
2015	1000053	p	NA	1000057
2015	1000082	c	5657142	NA
2015	1000082	p	NA	1000084
2015	1000082	p	NA	1000085
2015	1000082	p	NA	1037312
2015	1000088	c	5657609	NA
2015	1000088	d	5639512	NA
2015	1000088	d	5640162	NA
2015	1000088	p	NA	1000089
2015	1000088	p	NA	1000090
2015	1000088	p	NA	1000092
2015	1000088	p	NA	1044852
2015	1000088	p	NA	1000093
2015	1000168	c	5663057	NA
2015	1000168	d	5637857	NA
2015	1000168	d	5651486	NA
2015	1000168	p	NA	1000169
2015	1000168	p	NA	1000170
2015	1000168	p	NA	1000171
2015	1000168	p	NA	1000172
2015	1000168	p	NA	1000173
2015	1000233	c	5662931	NA
2015	1000233	p	5447569	NA
2015	1000233	p	5604856	NA
2015	1000233	p	5642907	NA
2015	1000233	p	5654685	NA
2015	1000233	p	5662767	NA
2015	1000239	c	5636268	NA
2015	1000239	p	NA	1000240
2015	1000239	p	NA	1000241
2015	1000239	p	NA	1000242
2015	1000239	p	NA	1000243
2015	1000261	c	5662783	NA
2015	1000261	d	5638481	NA
2015	1000261	d	5662783	NA
2015	1000261	p	NA	1000262
2015	1000261	p	NA	1000263
2015	1000261	p	NA	1000264
2015	1000261	p	NA	1000265
2015	1000325	c	5645759	NA
2015	1000325	d	5647861	NA
2015	1000325	d	5649366	NA
2015	1000325	p	NA	1000326
2015	1000325	p	NA	1000327
2015	1000325	p	NA	1000328
2015	1000325	p	NA	1000398
2015	1000325	p	NA	997692
2015	1000354	c	5653496	NA
2015	1000354	d	5647037	NA
2015	1000354	p	NA	1000355
2015	1000354	p	NA	1000356
2015	1000354	p	NA	1000357
2015	1000354	p	NA	1000358
2015	1000393	c	5662673	NA
2015	1000393	p	NA	1000394
2015	1000393	p	NA	1000395
2015	1000393	p	NA	1000396
2015	1000393	p	NA	1000397
2015	1000419	c	5658811	NA
2015	1000419	d	5639205	NA
2015	1000419	d	5658811	NA
2015	1000419	p	NA	1000420
2015	1000419	p	NA	1001032
2015	1000419	p	NA	1000421
2015	1000419	p	NA	1044382
2015	1000423	c	5497181	NA
2015	1000423	d	5642016	NA
2015	1000423	d	5648882	NA
2015	1000423	p	NA	1000424
2015	1000423	p	NA	1000425
2015	1000423	p	NA	1000426
2015	1000423	p	NA	1000427
2015	1000423	p	NA	1000456
2015	1000428	c	5650872	NA
2015	1000428	d	5715487	NA
2015	1000428	p	NA	1000429
2015	1000428	p	NA	1000430
2015	1000428	p	NA	1000431
2015	1000428	p	NA	1000432
2015	1000428	p	NA	1000433
2015	1000443	c	5653995	NA
2015	1000443	d	5644535	NA
2015	1000443	d	5652336	NA
2015	1000443	d	5657256	NA
2015	1000443	p	NA	1000444
2015	1000443	p	NA	1000445
2015	1000443	p	NA	1000446
2015	1000443	p	NA	1000447
2015	1000443	p	NA	1000448
2015	1000473	c	5715346	NA
2015	1000473	d	5649294	NA
2015	1000473	d	5651103	NA
2015	1000473	p	NA	1000474
2015	1000473	p	NA	1000475
2015	1000473	p	NA	1000476
2015	1000473	p	NA	1000477
2015	1000519	c	5646497	NA
2015	1000519	p	5463256	NA
2015	1000519	p	5602572	NA
2015	1000519	p	5659055	NA
2015	1000519	p	5659471	NA
2015	1000519	p	5715383	NA
2015	1000574	c	5663301	NA
2015	1000574	d	5653847	NA
2015	1000574	p	NA	1000575
2015	1000574	p	NA	1000576
2015	1000574	p	NA	1000577
2015	1000574	p	NA	1000578
2015	1000584	c	5638057	NA
2015	1000584	d	5638057	NA
2015	1000584	p	NA	1000585
2015	1000584	p	NA	1000586
2015	1000584	p	NA	1000587
2015	1000584	p	NA	1000588
2015	1000584	p	NA	1000589
2015	1000618	c	5640594	NA
2015	1000618	p	5638630	NA
2015	1000618	p	5641150	NA
2015	1000618	p	5650594	NA
2015	1000618	p	5661463	NA
2015	1000618	p	5715574	NA
2015	1000637	c	5647983	NA
2015	1000637	p	5644792	NA
2015	1000637	p	5649649	NA
2015	1000637	p	5655411	NA
2015	1000637	p	5657283	NA
2015	1000637	p	5661556	NA
2015	1000638	c	5640570	NA
2015	1000638	d	5638701	NA
2015	1000638	d	5651661	NA
2015	1000638	p	NA	1000639
2015	1000638	p	NA	1000640
2015	1000638	p	NA	1000641
2015	1000638	p	NA	1000642
2015	1000638	p	NA	1000643
2015	1000646	c	5659489	NA
2015	1000646	d	5653557	NA
2015	1000646	p	NA	1000647
2015	1000646	p	NA	1000648
2015	1000646	p	NA	1000649
2015	1000646	p	NA	1000650
2015	1000646	p	NA	1000651
2015	1000662	c	5640355	NA
2015	1000662	d	5713119	NA
2015	1000662	p	NA	1000663
2015	1000662	p	NA	1000664
2015	1000662	p	NA	1000665
2015	1000662	p	NA	1000666
2015	1000669	c	5650317	NA
2015	1000669	p	5636441	NA
2015	1000669	p	5640014	NA
2015	1000669	p	5643555	NA
2015	1000669	p	5646947	NA
2015	1000669	p	5648240	NA
2015	1000669	p	5659660	NA
2015	1000722	c	5646710	NA
2015	1000722	d	5658991	NA
2015	1000722	p	NA	1000723
2015	1000722	p	NA	1000725
2015	1000722	p	NA	1000726
2015	1000722	p	NA	996698
2015	1000743	c	5660163	NA
2015	1000743	d	5641753	NA
2015	1000743	p	NA	1000744
2015	1000743	p	NA	1000745
2015	1000743	p	NA	1000746
2015	1000743	p	NA	1000747
2015	1000743	p	NA	1000748
2015	1000756	c	5657489	NA
