year	type	count
2015	Business Meeting	127
2015	Reception	62
2015	Short Course	21
2016	Business Meeting	131
2016	Outreach Café	1
2016	Reception	66
2016	Research Café	3
2016	Short Course / Workshop	27
2016	Teaching Café	2
2017	Business Meeting	147
2017	Reception	60
2017	Research Café	1
2017	Short Course / Workshop	22
2017	Teaching Café	4
2018	Business Meeting	156
2018	Outreach Café	2
2018	Reception	77
2018	Research Café	3
2018	Teaching Café	1
2018	Wednesday Full Day Short Course	14
2018	Wednesday Half-Day Short Course	12
2018	Workshop	5
2019	Business Meeting	140
2019	Reception	73
2019	Research Café	1
2019	TLC Outreach Café	1
2019	TLC Teaching Café	1
2019	TLC Workshop	2
2019	Wednesday Full Day Short Course	8
2019	Wednesday Half-Day Short Course	12
2019	Workshop	2
2020	Business Meeting	80
2020	Café	1
2020	Lightning Round	4
2020	Reception	25
2020	TLC Workshop	8
2020	Workshop	9
2021	In-Person Business Meeting	12
2021	In-Person Lightning Round	1
2021	In-Person Reception	30
2021	In-Person Short Course Full Day	1
2021	In-Person Short Course Half Day	9
2021	TLC In-Person Workshop	3
2021	TLC Virtual Workshop	3
2021	Virtual Business Meeting	51
2021	Virtual Café	2
2021	Virtual Lightning Round	4
2021	Virtual Reception	11
