year	type	count
2015	Full Panel	358
2015	Paper Session	423
2015	Poster Session	53
2015	Roundtable	107
2015	Theme Session	12
2016	30-minute Paper Session	8
2016	Author meet critics	32
2016	Full Panel	922
2016	Mini-conference	4
2016	Roundtable	132
2017	Author meet critics	38
2017	Featured Paper Panel: 30-minute Paper Presentations	34
2017	Full Panel	603
2017	Full Submitted Panel	319
2017	Mini-conference	5
2017	Poster Session	56
2017	Roundtable	140
2018	Author meet critics	59
2018	Created Panel	611
2018	Featured Paper Panel: 30-minute Paper Presentations	6
2018	Full Paper Panel	376
2018	Mini-conference	11
2018	Poster Session	58
2018	Roundtable	137
2019	Author meet critics	64
2019	Created Panel	641
2019	Featured Paper Panel: 30-minute Paper Presentations	9
2019	Full Paper Panel	411
2019	Poster Session	63
2019	Roundtable	167
2019	Theme Panel	1
2019	TLC Full Paper Panel	1
2020	Author meet critics	59
2020	Created Panel	577
2020	Full Paper Panel	334
2020	Poster Session	52
2020	Pre-conference Short Course Full Day	2
2020	Pre-conference Short Course Half Day	23
2020	Roundtable	127
2020	TLC Full Paper Panel	1
2020	TLC Roundtable	1
2021	In-Person Author meet critics	24
2021	In-Person Created Panel	319
2021	In-Person Featured Paper Panel: 30-minute Paper Presentations	1
2021	In-Person Full Paper Panel	159
2021	In-Person Poster Session	1
2021	In-Person Roundtable	51
2021	TLC In-Person Full Paper Panel	5
2021	TLC In-Person Roundtable	1
2021	TLC Virtual Full Paper Panel	5
2021	Virtual Author meet critics	27
2021	Virtual Created Panel	400
2021	Virtual Featured Paper Panel: 30-minute Paper Presentations	2
2021	Virtual Full Paper Panel	141
2021	Virtual Mini-conference	1
2021	Virtual Poster Session	65
2021	Virtual Roundtable	87
