year	session	type	session_title	n_participants
2015	1000053	Full Panel	Authoritarianism, Repression and Mobilization in the Middle East	6
2015	1000082	Full Panel	Empowering Women: Special Challenges Gender Poses for Inclusion and Diversity within the Profession	4
2015	1000088	Full Panel	The Good Representative 2.0	8
2015	1000168	Full Panel	Property Rights and Governance in Post-Communist States	8
2015	1000233	Roundtable	Informed Consent in Field Experiments	6
2015	1000239	Full Panel	The Origins and Implications of State Regulation of Religion in Muslim Societies	5
2015	1000261	Full Panel	The Political Economy of Access to Political Office and Policy Outcomes	7
2015	1000325	Full Panel	Explaining Party-Building Strategies in Sub-Saharan Africa	8
2015	1000354	Full Panel	What Difference Does Diversity Make in Comparative Political Theory?	6
2015	1000393	Full Panel	Habitation, Habitability, Justice 1	5
2015	1000419	Full Panel	Marriage, Morals, and Markets	7
2015	1000423	Full Panel	Presidential Influence and Congressional Politics	8
2015	1000428	Full Panel	Frontiers in the Quantitative Study of Women in Politics	7
2015	1000443	Full Panel	New Theories and Evidence on Labor Politics	9
2015	1000473	Full Panel	Habitation, Habitability, Justice 2	7
2015	1000519	Roundtable	"Author Meets Critics Roundtable: Alan Patten's ""Equal Recognition"""	6
2015	1000574	Full Panel	Ideas and Domestic Politics in America’s Rise to Power	6
2015	1000584	Full Panel	Spatial Dynamics and Political Order in Comparative Perspective	7
2015	1000618	Roundtable	Race, Gender, Sexuality, and Sexual and Domestic Violence in the NBA and NFL	6
2015	1000637	Roundtable	Roundtable: What do we know about Political Networks? What can we know?	6
2015	1000638	Full Panel	What Do We Learn from Deliberative Mini-Publics?	8
2015	1000646	Full Panel	Party mobilization and election campaigns in Africa	7
2015	1000662	Full Panel	U.S.-China Nuclear Relations and the Future of East Asian Security	6
2015	1000669	Roundtable	"Author Meets Critics: Dale Copeland's ""Economic Interdependence and War"""	7
2015	1000722	Full Panel	The Strategic Use of Islam by Middle Eastern Regimes	6
2015	1000743	Full Panel	Politics in Movement: International Migration and Political Change	7
2015	1000756	Roundtable	"Roundtable: Shaul Shenhav’s book, ""Analyzing Social Narratives"""	6
2015	1000769	Full Panel	Democratic Citizenship and the Ethics of Voting in Diverse Societies	7
2015	1000780	Roundtable	Crowdsourcing Case Studies: Lessons from the Participedia Project	5
2015	1000787	Roundtable	U.S.-Russian Relations: Is there a Way Out of the Dead-end?	3
2015	1000820	Roundtable	Author Meets Critics: Jacob T. Levy, Rationalism, Pluralism, and Freedom	7
2015	1000821	Full Panel	Revisiting Social Movements, Civil Society and Party Change After Communism	8
2015	1000827	Full Panel	Towards a Critical Political Science	8
2015	1000840	Full Panel	Firms and Politics in East Asia	6
2015	1000848	Roundtable	"""Bridges and Cul de Sacs: Navigating Migration Studies Across the Subfields"""	7
2015	1000885	Full Panel	Insurgencies in Comparative Perspective: African and Cross-Regional Evidence	5
2015	1000891	Full Panel	Capturing Protest: Text Analysis Methods and the Comparative Study of Populism	7
2015	1000903	Full Panel	Causes and Consequences of Personal Representation Voting Rules	6
2015	1000909	Roundtable	Money in Elections: A Franco-American comparison of Political Finance Laws	6
2015	1000910	Full Panel	Strategies and Dynamics of Subnational Conflict	7
2015	1000919	Full Panel	Political Polarization in Comparative Perspective	8
2015	1000926	Roundtable	New Directions in Multi-Method Research	6
2015	1000929	Full Panel	Diversity in Families? Economic Precarity and the Politicization of the Family	6
2015	1000936	Full Panel	Rethinking Democratic Agency: Race, Gender, Sexuality, Autonomy	6
2015	1000959	Full Panel	Party Strategies: Electoral Systems and Legislative Organization	7
2015	1001004	Full Panel	Autonomy of International Institutions	7
2015	1001027	Full Panel	Learning In International Security	6
2015	1001075	Full Panel	Online Political Participation: How Diverse Youth Engage with Politics	8
2015	1001115	Full Panel	Political Theory and the Corporation	6
2015	1001124	Full Panel	Social Policy in Non-Democracies: The Chinese Welfare State	7
2015	1001141	Full Panel	Using Within-Country Institutional Diversity for Causal Identification in Japan	7
2015	1001204	Full Panel	Religion and Regimes in Developing Countries	5
2015	1001307	Roundtable	Does Critique Have a Future? A Question for Political Theorists	5
2015	1001317	Full Panel	The Rise of Cities: An Urban Turn in the Study of Indian Politics	6
2015	1001329	Full Panel	Elections Administration: Efficacy and Integrity	5
2015	1001449	Full Panel	Sub-National and Cross-Regional Approaches to Comparative Public Law	7
2015	1001480	Full Panel	Federations and Unions in Imperial and Post-Colonial Political Thought	6
2015	1001637	Full Panel	Race and Gender in the Early American Republic	8
2015	1001657	Full Panel	Paradoxes and Possibilities of Political Action	6
2015	1001682	Full Panel	The Conditions of Policy Responsiveness	7
2015	1001703	Full Panel	New Frontiers in Research on Public Attitudes toward Immigration	7
2015	1001712	Full Panel	Comparative Public Policy in a Multi-level Context	8
2015	1001732	Full Panel	Issues of Compliance in International Politics	9
2015	1001742	Full Panel	New Approaches to the Study of Social Influence and Communication Networks	8
2015	1001750	Full Panel	Hidden Violence During Armed Conflict: Methodological Challenges And Innovations	7
2015	1001812	Full Panel	Direct Democracy in Multilevel Divided Societies: Curse or Cure?	7
2015	1001819	Full Panel	State Capacity: Concept, Measurement, and Applications	8
2015	1001914	Full Panel	Presidential Communication in a Polarized Age	8
2015	1002017	Full Panel	‘The Strangest Experiences’: Salvaging Complexity in Political Theorizing	6
2015	1002052	Full Panel	Critical Evolutions in Election Observation	7
2015	1002121	Full Panel	Constructing Representative Democracy: Theory, History, and Practice	7
2015	1002129	Full Panel	How the Media Portray Political Issues and Why It Matters	8
2015	1002167	Full Panel	Population-Based Survey Experiments in the Middle East	6
2015	1002179	Full Panel	After Boston College:  Ethical and Methodological Innovation in Fieldwork	8
2015	1002316	Full Panel	Pedagogical Diversities Reconsidered: Teaching Politics in the 21st Century	7
2015	1002344	Full Panel	Diversifying ‘Diversity’: Migration, Economy, Culture and Human Rights	6
2015	1002366	Full Panel	The Causes and Consequences of Health Care Reform	7
2015	1002429	Full Panel	The Right Turn against Workers in the American States	7
2015	1002471	Full Panel	The Politics of Public Employment in Developing States	5
2015	1002517	Full Panel	Social Network Approaches to Violence and Coercion	7
2015	1002604	Full Panel	Plato and Contemporary Political Theory: Legacy, Politics, Interpretation	7
2015	1002708	Full Panel	Electoral Rules, Voting, and Turnout: New Pathways for Research	7
2015	1002839	Full Panel	Ciceronian Receptions	6
2015	1002894	Roundtable	20th Anniversary Plenary:  Evaluating the REP Section’s Impact on Political Science	8
2015	1002923	Roundtable	"Authors Meet Critics: ""American Identity and the Politics of Multiculturalism"""	6
